addresses_roadtype_name,addresses_end_street_number,values_attribute_name,addresses_road_name,values_category,addresses_zip_code,values_value,addresses_town,geo_epgs_4326_y,geo_epgs_4326_x,addresses_district_name,geo_epgs_25831_x,addresses_start_street_number,register_id,institution_id,addresses_main_address,addresses_district_id,addresses_roadtype_id,addresses_type,addresses_neighborhood_id,_id,name,addresses_road_id,created,geo_epgs_25831_y,institution_name,modified,values_description,values_id,addresses_neighborhood_name,values_outstanding,values_attribute_id
,,,Via Augusta,,8017,,BARCELONA,2.122852491250377,41.401274235562326,Sarrià-Sant Gervasi,426679.3992985538,356,﻿99400477587,,True,5,,,23,11,Torre d'Aigües de Carrasco i Formiguera,28000,2017-02-09T14:10:51,4583675.042542249,,2021-09-09T02:16:46.678407,,,Sarrià,,
,,Arquitecte(s),Av Tibidabo,Variables,8022,Enric Sagnier i Villavecchia,BARCELONA,2.135695010644845,41.411850643734354,Sarrià-Sant Gervasi,427764.6295052072,17,﻿99400477590,,True,5,,,25,12,Torre del Doctor Andreu,101008,2017-02-09T14:17:40,4584838.434431069,,2021-09-09T02:16:47.850332,,356956,Sant Gervasi - la Bonanova,False,50
,,E-mail,Pl Mercè,Informació d'interès,8002,mdmerce30@arqbcn.org,BARCELONA,2.1795802549065177,41.379425179886205,Ciutat Vella,431398.33895484527,1,﻿92086000857,,True,1,,,2,13,Parròquia de la Mare de Déu de la Mercè i Sant Miquel Arcàngel - Basílica,209401,1984-05-30T00:00:00,4581202.933652775,,2021-09-01T13:22:50.857309,,39691,el Barri Gòtic,True,100002
,,,C Quintana,,8002,,BARCELONA,2.1744292455209995,41.381241482418325,Ciutat Vella,430969.5400818946,5,﻿99400391163,,True,1,,,2,14,Can Culleretes,272703,2015-07-08T17:06:52,4581408.666557461,,2021-09-09T02:15:29.757156,,,el Barri Gòtic,,
,,,Av Diagonal,,8028,,BARCELONA,2.125713944106764,41.387938521008294,Les Corts,426903.6504419463,629,﻿99400391193,,True,4,,,20,15,La Diagonal,144601,2015-07-09T10:25:22,4582192.110057333,,2021-09-09T02:15:33.333952,,,la Maternitat i Sant Ramon,,
,,,C Coroleu,,8030,,BARCELONA,2.1881654862843227,41.43277350201,Sant Andreu,432171.73024285847,15,﻿99400391194,,True,9,,,60,16,Refugi Antiaeri de La Lira,91403,2015-07-09T10:44:22,4587118.8381177215,,2022-09-17T08:22:46.954459,,,Sant Andreu,,
,,,C Pinar del Río,,8027,,BARCELONA,2.182057614392575,41.42243408970824,Sant Andreu,431650.57353301666,32,﻿99400391217,,True,9,,,62,17,Refugi Antiaeri 977 (Matanzas / Pinar del Río),255704,2015-07-09T12:20:01,4585975.768151741,,2022-09-17T08:22:48.034167,,,el Congrés i els Indians,,
,,,Pl Orfila,,8030,,BARCELONA,2.1914901770236495,41.436298796229686,Sant Andreu,432453.1634334015,5,﻿99400391226,,True,9,,,60,18,Capella dels Segadors,235809,2015-07-09T13:14:23,4587507.614386384,,2022-06-02T09:58:17.814997,,,Sant Andreu,,
,,,C Atlàntida,,8003,,BARCELONA,2.190007515254681,41.37949735138732,Ciutat Vella,432270.3254764273,57,﻿99400476661,,True,1,,,3,19,Antiga Subcentral Elèctrica de la Barceloneta,27700,2017-01-26T11:50:16,4581202.744830445,,2022-09-17T08:49:49.791813,,,la Barceloneta,,
,,,C Pou de la Figuera,,8003,,BARCELONA,2.1797633325540073,41.3874487826944,Ciutat Vella,431422.07854248193,1,﻿99400476703,,True,1,,,4,20,L'Hortet del Forat,264807,2017-01-26T14:59:34,4582093.555965687,,2021-09-09T02:15:45.058718,,,"Sant Pere, Santa Caterina i la Ribera",,
,,,Pla Palau,,8003,,BARCELONA,2.1825248996890165,41.38289712933221,Ciutat Vella,431648.2014475582,1,﻿99400476706,,True,1,,,4,21,El Pla de Palau,240707,2017-01-26T15:36:41,4581586.056964056,,2021-09-09T02:15:46.463178,,,"Sant Pere, Santa Caterina i la Ribera",,
,,,Av Rio de Janeiro,,8016,,BARCELONA,2.17975400193275,41.43553633390901,Nou Barris,431471.8559717721,51,﻿99400476724,,True,8,,,45,22,Masia Can Valent,282650,2017-01-27T09:27:58,4587432.189923876,,2023-01-25T12:45:06.434950,,,Porta,,
,,E-mail,C Sant Pau,Informació d'interès,8001,info@hotelespanya.com,BARCELONA,2.1728476146789286,41.37998177436281,Ciutat Vella,430835.9554091639,9,﻿75990115898,,True,1,,,1,23,Hotel España - HB-000073,308505,1996-09-18T00:00:00,4581270.07688283,,2022-09-17T03:02:59.308015,,36118,el Raval,True,100002
,,Web,Pg Santa Madrona,Informació d'interès,8038,https://link.bcn.cat/cEjdL,BARCELONA,2.158482875531215,41.36812384413011,Sants-Montjuïc,429622.02648506215,2,﻿99329085212,,True,3,,,11,24,Jardins Laribal,316809,1999-11-25T00:00:00,4579965.193371069,,2023-02-16T09:52:22.511957,,81276,el Poble-sec,True,100003
,,,C Vayreda,,8035,,BARCELONA,2.140820837872433,41.43148809165625,Horta-Guinardó,428214.6616704786,24,﻿99400477227,,True,7,,,40,25,Cases Blanques,354706,2017-02-06T09:47:47,4587014.306319857,,2021-09-09T02:15:47.161603,,,Montbau,,
,,,C Cornudella,,8031,,BARCELONA,2.165334527114244,41.43411211194424,Nou Barris,430265.63370803505,45,﻿99400477228,,True,8,,,46,26,Refugi Antiaeri de Can Peguera,91301,2017-02-06T10:20:08,4587285.588105693,,2022-09-17T08:50:17.893694,,,el Turó de la Peira,,
,,,Av Santuari St Josep Muntanya,,8024,,BARCELONA,2.154195493067497,41.41043997027809,Gràcia,429309.31553899625,1,﻿99400477244,,True,6,,,30,27,Can Tusquets,320205,2017-02-06T12:04:04,4584666.558433211,,2022-09-17T08:50:26.722197,,,la Salut,,
,,,C Berga,,8012,,BARCELONA,2.152994586062526,41.40073485164731,Gràcia,429198.40984264005,22,﻿99400477252,,True,6,,,31,28,Casa Agustí Trulla,40005,2017-02-06T12:26:29,4583590.087907609,,2022-09-17T08:50:25.218534,,,la Vila de Gràcia,,
,,,C Torrijos,,8012,,BARCELONA,2.1591194797287576,41.40322501663375,Gràcia,429713.08078542684,26,﻿99400477262,,True,6,,,31,29,Casa Castellet,341908,2017-02-06T12:53:20,4583861.555367323,,2022-09-17T08:50:27.402970,,,la Vila de Gràcia,,
,,,C Astúries,,8012,,BARCELONA,2.1542086675874965,41.40324920807498,Gràcia,429302.6217716938,26,﻿99400477267,,True,6,,,31,30,Casa Concepció i Casa Comelles,27302,2017-02-06T13:21:22,4583868.237216602,,2022-09-17T08:50:27.655811,,,la Vila de Gràcia,,
,,,Av República Argentina,,8023,,BARCELONA,2.1460627049444705,41.41022204823076,Gràcia,428629.3481470541,82,﻿99400477268,,True,6,,,28,31,Casa Cortina,279600,2017-02-06T13:25:54,4584649.034461283,,2022-09-17T08:50:31.900669,,,Vallcarca i els Penitents,,
,,Arquitecte(s),C Or,Variables,8012,Enric Sagnier Villavecchia,BARCELONA,2.1573773724992016,41.40467490062874,Gràcia,429569.0271509501,38,﻿99400477273,,True,6,,,31,32,Casa Enric Cera,236700,2017-02-06T13:40:25,4584023.93475376,,2022-09-17T08:50:37.933493,,356914,la Vila de Gràcia,False,50
,,,C Doctor Balari i Jovany,,8030,,BARCELONA,2.190849375486821,41.435363668960846,Sant Andreu,432398.6569830958,13,﻿99400477712,,True,9,,,60,33,La Previsió Obrera,101100,2017-02-10T13:54:50,4587404.297382016,,2021-09-09T02:17:09.184581,,,Sant Andreu,,
,,,C Berenguer de Palou,,8027,,BARCELONA,2.191951961584244,41.42373640875645,Sant Andreu,432478.7274650504,64,﻿99400477731,,True,9,,,61,34,Refugi Antiaeri de la Sagrera,39709,2017-02-10T14:22:14,4586112.587984551,,2023-01-25T13:38:52.270712,,,la Sagrera,,
,,,C Campo Florido,,8027,,BARCELONA,2.182484957753459,41.42138115685976,Sant Andreu,431685.18022080924,9,﻿99400477763,,True,9,,,62,35,Carrer Campo Florido,57904,2017-02-13T10:14:02,4585858.53530135,,2021-09-09T02:17:10.022892,,,el Congrés i els Indians,,
,,,C Coroleu,,8030,,BARCELONA,2.187190543503709,41.432982983446294,Sant Andreu,432090.49202647863,42,﻿99400477767,,True,9,,,60,36,Carrer Coroleu,91403,2017-02-13T10:25:04,4587142.858867394,,2021-09-09T02:17:11.860707,,,Sant Andreu,,
,,,C Grau,,8030,,BARCELONA,2.1876693524974757,41.438791640535136,Sant Andreu,432136.5474496103,47,﻿99400477781,,True,9,,,60,37,Carrer Grau,149809,2017-02-13T11:11:14,4587787.356597949,,2021-09-09T02:17:15.061469,,,Sant Andreu,,
,,,C Garcilaso,,8027,,BARCELONA,2.1797396875918653,41.423676546575145,Sant Andreu,431458.186372441,200,﻿99400477783,,True,9,,,62,38,Carrer Manigua,140407,2017-02-13T11:13:21,4586115.536750607,,2021-09-09T02:17:20.914286,,,el Congrés i els Indians,,
,,,C Matanzas,,8027,,BARCELONA,2.1821867084168733,41.422752030928834,Sant Andreu,431661.69441790046,40,﻿99400477784,,True,9,,,62,39,Carrer Matanzas,204907,2017-02-13T11:15:19,4586010.963810959,,2021-09-09T02:17:17.847995,,,el Congrés i els Indians,,
,,,C Gran de Sant Andreu,,8030,,BARCELONA,2.189397397119702,41.43272227205576,Sant Andreu,432274.6032457532,176,﻿99400477807,,True,9,,,60,40,Menjadors populars del carrer Gran Sant Andreu (Guerra Civil),296202,2017-02-13T12:01:28,4587112.186203134,,2021-09-09T02:17:25.817306,,,Sant Andreu,,
,,E-mail,Passatge del Vapor Vell,Informació d'interès,8028,b.barcelona.vv@diba.cat,Barcelona,2.134751788846474,41.376928596666524,Sants-Montjuïc,427647.08048029605,1,﻿249121118,,True,3,,,18,41,Biblioteca Vapor Vell,700952,2000-09-05T00:00:00,4580962.220220291,,2023-03-14T13:59:58.094547,,33481,Sants,True,100002
,,E-mail,C Rubén Darío,Informació d'interès,8030,info@eixsantandreu.com,BARCELONA,2.1880354434825855,41.434185469214114,Sant Andreu,432162.3353024431,37,﻿99400495941,,True,9,,,60,42,Associació Eix Comercial de Sant Andreu,290308,2017-04-18T15:45:34,4587275.695587609,,2022-02-15T14:24:28.434607,,59548,Sant Andreu,True,100002
,,E-mail,C Carders,Informació d'interès,8003,info@mescladis.org,BARCELONA,2.180350747384523,41.38709531983286,Ciutat Vella,431470.82007677766,35,﻿99400288638,99400199078,True,1,,,4,43,Espai Mescladís,65607,2012-03-22T00:00:00,4582053.850363022,Fundació Privada Ciutadania Multicultural,2022-09-17T07:46:44.499414,,55286,"Sant Pere, Santa Caterina i la Ribera",True,100002
,,E-mail,Pg Salvat Papasseit,Informació d'interès,8003,lafabricadelsol@bcn.cat,BARCELONA,2.1912801963845494,41.383031580266,Ciutat Vella,432380.406327429,1,﻿99117135915,,True,1,,,3,44,Centre d'Educació Ambiental La Fàbrica del Sol,294874,1999-04-27T00:00:00,4581594.115032651,,2023-02-16T09:52:22.879693,,46859,la Barceloneta,True,100002
,,Web,Ctra Sant Cugat,Informació d'interès,8035,http://www.barcelona.cat/hortsurbans,BARCELONA,2.130702385728167,41.42502856858588,Horta-Guinardó,427362.0460985986,114,﻿1156115521,,True,7,,,39,45,Hort Urbà Masia Can Soler,148409,2001-06-05T00:00:00,4586305.61304356,,2022-09-23T12:49:01.767216,,65140,Sant Genís dels Agudells,True,100003
,,Web,Av Miramar,Informació d'interès,8038,https://link.bcn.cat/cJdMCV,BARCELONA,2.1630513619866973,41.36885056534847,Sants-Montjuïc,430004.881745107,30,﻿92090124057,,True,3,,,11,46,Jardins Mossèn Cinto Verdaguer,213307,1992-03-30T00:00:00,4580042.173698919,,2022-11-23T12:39:23.812876,,76740,el Poble-sec,True,100003
,,E-mail,C Ciutat de Granada,Informació d'interès,8018,info.il3@ub.edu,BARCELONA,2.1921490044799414,41.40277794946353,Sant Martí,432473.48998268216,131,﻿93039115623,,True,10,,,66,47,IL3 Institut de Formació Contínua - Universitat de Barcelona,148704,1993-02-08T00:00:00,4583785.64967003,,2022-09-17T05:00:32.117803,,44009,el Parc i la Llacuna del Poblenou,True,100002
,,Arquitecte(s),C Santa Magdalena,Variables,8012,Salvador Puiggròs i Figueras,BARCELONA,2.1524799804849275,41.40368647833563,Gràcia,429158.5991603751,1,﻿99400477275,,True,6,,,31,48,Casa F. Homet,317007,2017-02-06T13:51:32,4583918.194699254,,2022-09-17T08:50:40.348248,,356915,la Vila de Gràcia,False,50
,,,C Gran de Gràcia,,8012,,BARCELONA,2.152775398750866,41.40217836640819,Gràcia,429181.6549716696,135,﻿99400477277,,True,6,,,31,49,Casa Feliu Iglesies,206403,2017-02-06T13:59:20,4583750.524339327,,2021-07-15T14:25:41.561658,,,la Vila de Gràcia,,
,,Arquitecte(s),C Ca l'Alegre de Dalt,Variables,8024,Jaume Gustà i Bondia,BARCELONA,2.160063116454555,41.41041608639633,Gràcia,429799.6987775702,72,﻿99400477321,,True,6,,,32,50,Casa Gustà,7906,2017-02-07T09:30:15,4584659.134607729,,2022-09-17T08:50:46.008388,,356916,el Camp d'en Grassot i Gràcia Nova,False,50
,,,C Or,,8012,,BARCELONA,2.157716680356859,41.40487709704659,Gràcia,429597.60686866974,44,﻿99400477335,,True,6,,,31,51,Casa Rubinat,236700,2017-02-07T10:55:11,4584046.106543488,,2022-09-17T08:50:52.610750,,,la Vila de Gràcia,,
,,,C Mare de Déu de la Salut,,8024,,BARCELONA,2.156053352602201,41.410989814046026,Gràcia,429465.18801257154,31,﻿99400477337,,True,6,,,30,52,Casa Tomàs Valls,366002,2017-02-07T11:01:55,4584726.086885341,,2022-09-17T08:50:53.934915,,,la Salut,,
,,,C Sabino Arana,,8028,,BARCELONA,2.1266907591970448,41.385476143227585,Les Corts,426982.5647344043,1,﻿99400398847,,True,4,,,20,53,Edifici La Maternitat,285002,2015-10-08T11:41:44,4581917.916749961,,2022-09-17T08:28:22.081312,,,la Maternitat i Sant Ramon,,
,,,Av Tibidabo,,8022,,BARCELONA,2.134981213630846,41.41281169827556,Sarrià-Sant Gervasi,427706.0380512149,27,﻿99400477591,,True,5,,,25,62,Torre d'Ignacio Portabella,101008,2017-02-09T14:29:57,4584945.725372515,,2022-09-17T08:52:27.429150,,,Sant Gervasi - la Bonanova,,
,,E-mail,C Padilla,Informació d'interès,8025,bsalutsioeinfor@blanquerna.edu,BARCELONA,2.1721184721407334,41.409786505203634,Horta-Guinardó,430806.6030140592,326,﻿97027175152,,True,7,,,33,54,Facultat de Ciències de la Salut Blanquerna - URL,238400,1997-01-27T00:00:00,4584579.538591303,,2022-06-30T15:45:16.214625,,45939,el Baix Guinardó,True,100002
,,E-mail,C Doctor Ibáñez,Informació d'interès,8014,cristalleriesplanell@bcn.cat,BARCELONA,2.131903917807222,41.38743624313862,Les Corts,427420.6214301351,38,﻿99400391022,,True,4,,,19,55,Cristalleries Planell,102408,2015-07-07T14:52:06,4582131.144763588,,2021-09-09T02:15:18.172862,,57496,les Corts,True,100002
,,Arquitecte(s),C Pineda,Variables,8023,Josep M. Jujol i Gibert,BARCELONA,2.147925810285238,41.41927179810715,Gràcia,428794.94932641694,12,﻿99400391054,,True,6,,,29,56,Casa Queralt,255908,2015-07-08T09:08:58,4585652.195716578,,2021-09-09T02:15:19.295500,,353239,el Coll,False,50
,,Tel.,C Dante Alighieri,Telèfons,8032,608655342,BARCELONA,2.1575592367815526,41.42755510844527,Horta-Guinardó,429608.937232129,81,﻿99400391132,,True,7,,,37,57,El Túnel de la Rovira,97807,2015-07-08T14:12:40,4586563.926001248,,2021-09-09T02:15:30.822695,,227183,el Carmel,True,20001
,,E-mail,C Sant Gervasi de Cassoles,Informació d'interès,8022,info@restaurantebonanova.com,BARCELONA,2.1350313845219273,41.406211009367915,Sarrià-Sant Gervasi,427702.9132389673,103,﻿75990158301,,True,5,,,25,58,Restaurant Bonanova,302203,1996-09-18T00:00:00,4584212.881517409,,2023-02-28T13:33:30.359794,,36518,Sant Gervasi - la Bonanova,True,100002
,28,,Camí del Cama-sec,,8017,,Barcelona,2.097545489732037,41.41529444742222,Sarrià-Sant Gervasi,424580.1866130809,22,﻿99400477555,,True,5,,,22,59,La Mina Grott,700111,2017-02-09T12:15:33,4585253.282393681,,2021-04-23T09:46:15.008965,,,"Vallvidrera, el Tibidabo i les Planes",,
,,,C Borriana,,8030,,BARCELONA,2.1918289732978358,41.43056706573951,Sant Andreu,432475.52834401216,54,﻿99400477563,,True,9,,,60,60,Cooperativa La Guardiola Familiar,52004,2017-02-09T13:15:26,4586871.01759309,,2021-09-09T02:16:40.533015,,,Sant Andreu,,
,103,Arquitecte(s),Carretera de Vallvidrera al Tibidabo,Variables,8035,Nicolau M. Rubió i Tudurí,Barcelona,2.1193142250845742,41.42410490506085,Sarrià-Sant Gervasi,426409.40629316005,101,﻿99400477568,,True,5,,,22,61,Pavelló de Ràdio Barcelona al Parc d'Atraccions del Tibidabo,335654,2017-02-09T13:28:02,4586212.684406251,,2021-04-23T09:48:30.785234,,356955,"Vallvidrera, el Tibidabo i les Planes",False,50
,,,C Berlín,,8029,,BARCELONA,2.141744623609296,41.38512796595028,Les Corts,428240.8485137519,107,﻿99400477596,,True,4,,,19,63,El Jardí Vertical,40300,2017-02-09T16:16:27,4581866.687519304,,2021-09-09T02:16:49.968187,,,les Corts,,
,1,,Carrer de Can Móra,,8034,,Barcelona,2.1527937442494287,41.416432476191595,Sarrià-Sant Gervasi,429198.66671185486,1,﻿99400448482,,True,5,,,23,64,Mirador Joan Sales i Vallès,69608,2016-04-26T16:54:09,4585332.985577993,,2021-04-23T09:46:46.984117,,,Sarrià,,
,,,C Castells,,8029,,BARCELONA,2.139245592209627,41.387548470347184,Les Corts,428034.570461064,2,﻿99400477622,,True,4,,,19,65,Colònia Castells,73208,2017-02-10T08:53:34,4582137.480833006,,2021-09-09T02:16:54.352101,,,les Corts,,
,,,Pl Comas,,8028,,BARCELONA,2.1297722513988706,41.38564406822385,Les Corts,427240.3982245801,18,﻿99400477628,,True,4,,,19,66,La plaça de Comas,84907,2017-02-10T09:20:54,4581933.967648918,,2021-09-09T02:16:54.458876,,,les Corts,,
,,,Pl Reina Maria Cristina,,8034,,BARCELONA,2.126698190734328,41.388642403348214,Les Corts,426986.72861764947,,﻿99400477632,,True,4,,,21,67,La plaça de la Reina Maria Cristina,278302,2017-02-10T09:28:22,4582269.424320892,,2021-09-09T02:16:57.254898,,,Pedralbes,,
,,Any inauguració,Pl Ramon M. Roca Sastre,Variables,8028,2012,BARCELONA,2.118772762148288,41.38571907130874,Les Corts,426320.80815983395,,﻿99400477641,,True,4,,,20,68,La plaça de Ramon M. Roca i Sastre,701747,2017-02-10T09:43:45,4581951.588277809,,2021-09-09T02:16:56.750738,,356962,la Maternitat i Sant Ramon,False,22
,,,C Ciutat d'Elx,,8027,,BARCELONA,2.190885833187442,41.42207385561619,Sant Andreu,432387.9153836062,31,﻿99400477674,,True,9,,,61,69,Pilar d'Aigua de la Sagrera,80258,2017-02-10T12:25:48,4585928.844757233,,2021-09-09T02:17:00.624401,,,la Sagrera,,
,,,C Jordi de Sant Jordi,,8027,,BARCELONA,2.182983037488512,41.42215416804367,Sant Andreu,431727.611791505,16,﻿99400477684,,True,9,,,62,70,La Plaça del Rom Cremat,168905,2017-02-10T12:52:07,4585943.9614772955,,2021-09-09T02:17:05.622601,,,el Congrés i els Indians,,
,,,Pl Mercadal,,8030,,BARCELONA,2.1887179760564566,41.43498808409701,Sant Andreu,432220.1947230834,35,﻿99400477691,,True,9,,,60,71,La Plaça del Mercadal,208307,2017-02-10T13:01:16,4587364.266736306,,2021-09-09T03:17:55.435241,,,Sant Andreu,,
,,Coordenades X,Carrer de Felip II,Variables,8027,3260371,Barcelona,2.1924102551677853,41.416166339580734,Sant Andreu,432509.1858382271,2,﻿1204124417,,True,9,,,61,72,Pont de Calatrava (Bac de Roda - Felip II),121402,2001-07-23T00:00:00,4585271.809167086,,2023-02-27T16:19:16.024090,,235614,la Sagrera,False,7
,,,C Torre Melina,,8028,,BARCELONA,2.1085900896337453,41.381730229359285,Les Corts,425464.87357626506,8,﻿99400477713,,True,4,,,20,73,L'Espai de la Torre Melina i el seu Jardí Romàntic,700761,2017-02-10T13:55:15,4581517.460326789,,2021-09-09T02:17:06.516520,,,la Maternitat i Sant Ramon,,
,,,Pl Orfila,,8030,,BARCELONA,2.1909591589263973,41.43624446859993,Sant Andreu,432408.7428656056,3,﻿99400477753,,True,9,,,60,74,Avenç Obrer Català de Sant Andreu,235809,2017-02-13T09:22:23,4587501.997432232,,2021-09-09T02:17:10.162300,,,Sant Andreu,,
,,,C Bascònia,,8030,,BARCELONA,2.186869522394108,41.43554210043539,Sant Andreu,432066.3392035293,45,﻿99400477789,,True,9,,,60,75,Carrer Pons i Gallarza,354604,2017-02-13T11:20:20,4587427.222092135,,2021-09-09T02:17:19.726310,,,Sant Andreu,,
,,,C Puerto Príncipe,,8027,,BARCELONA,2.181260260566652,41.422608628418345,Sant Andreu,431584.12717407604,44,﻿99400477790,,True,9,,,62,76,Carrer Puerto Príncipe,269403,2017-02-13T11:22:13,4585995.774943316,,2021-09-09T02:17:26.029831,,,el Congrés i els Indians,,
,,E-mail,C Sant Sebastià,Informació d'interès,8030,jcalvet7@gmail.com,BARCELONA,2.1914231867699456,41.42900359854308,Sant Andreu,432440.0027235979,47,﻿92086004877,,True,9,,,60,77,Parròquia de Sant Josep Manyanet,310904,1984-05-30T00:00:00,4586697.759274233,,2022-09-17T03:57:46.264074,,39470,Sant Andreu,True,100002
,,E-mail,Carrer Gran de Sant Andreu,Informació d'interès,8030,infoccsa@bcn.cat,Barcelona,2.1894124386376466,41.43088018380354,Sant Andreu,432273.94529327267,111,﻿92086004879,,True,9,,,60,78,Centre Cívic Sant Andreu,296202,1984-05-30T00:00:00,4586907.667195705,,2022-12-22T09:35:48.200233,,39802,Sant Andreu,True,100002
,,E-mail,C Hondures,Informació d'interès,8027,info@nauivanow.com,BARCELONA,2.1899651964541302,41.4199791609378,Sant Andreu,432308.80819828017,28,﻿75990531988,,True,9,,,61,79,Fàbrica de Creació Nau Ivanow,156509,1998-06-06T00:00:00,4585697.013001065,,2022-06-28T13:45:14.807699,,38537,la Sagrera,True,100002
,,,C Ogassa,,8042,,BARCELONA,2.167141449216274,41.4358526732663,Nou Barris,430418.4581852451,6,﻿99400391136,,True,8,,,47,80,Can Carreras,233406,2015-07-08T14:35:41,4587477.370268776,,2021-09-09T02:15:29.583713,,,Can Peguera,,
,,,Ptge Esperança,,8016,,BARCELONA,2.176942405239261,41.42909687213159,Nou Barris,431230.1604628789,5,﻿99400391138,,True,8,,,44,81,El passatge de l'Esperança,114702,2015-07-08T14:42:22,4586719.514818521,,2021-09-09T02:15:30.473522,,,Vilapicina i la Torre Llobeta,,
,,,C Oristà,,8033,,BARCELONA,2.1857427165784453,41.464786625292604,Nou Barris,432002.7441651357,16,﻿99400391529,,True,8,,,56,146,El Rec Comtal,236506,2015-07-14T15:45:15,4590674.822456729,,2023-01-30T12:10:11.416165,,,Vallbona,,
,,,G.V. Corts Catalanes,,8015,,BARCELONA,2.155454935741646,41.38013155447215,Eixample,429381.7795415027,475,﻿99400391172,,True,2,,,9,82,Casa de la Lactància,169409,2015-07-09T09:26:54,4581300.731282989,,2021-09-09T02:15:32.027157,,,la Nova Esquerra de l'Eixample,,
,,E-mail,Avinguda de l'Estadi,Informació d'interès,8038,info@fbolimpica.es,Barcelona,2.1570941364707474,41.36628092507608,Sants-Montjuïc,429503.8926767652,60,﻿99400179658,,True,3,,,11,83,Museu Olímpic i de l'Esport Joan Antoni Samaranch de Barcelona,116402,2007-03-22T00:00:00,4579761.724333253,,2023-03-27T11:13:29.386717,,52183,el Poble-sec,True,100002
